Date,District,Confirmed,Confirmed-total
07/28/2020,Nkhata Bay,2,135
07/28/2020,Nkhotakota,0,34
07/28/2020,Nsanje,0,34
07/28/2020,Ntcheu,0,39
07/28/2020,Ntchisi,0,2
07/28/2020,Phalombe,0,9
07/28/2020,Rumphi,0,27
07/28/2020,Salima,0,32
07/28/2020,Thyolo,0,48
07/28/2020,Zomba,0,96
07/29/2020,Balaka,0,38
07/29/2020,Blantyre,43,1162
07/29/2020,Chikwawa,0,26
07/29/2020,Chiradzulu,0,17
07/29/2020,Chitipa,1,49
07/29/2020,Dedza,0,31
07/29/2020,Dowa,1,59
07/29/2020,Karonga,6,57
07/29/2020,Kasungu,2,42
07/29/2020,Likoma,0,2
07/29/2020,Lilongwe,31,791
07/29/2020,Machinga,0,58
07/29/2020,Mangochi,0,125
07/29/2020,Mchinji,0,49
07/29/2020,Mulanje,0,32
07/29/2020,Mwanza,0,22
07/29/2020,Mwanza PoE,19,192
07/29/2020,Mzimba North,6,478
07/29/2020,Mzimba South,2,107
07/29/2020,Neno,0,56
07/29/2020,Nkhata Bay,1,136
07/29/2020,Nkhotakota,2,36
07/29/2020,Nsanje,0,34
07/29/2020,Ntcheu,2,41
07/29/2020,Ntchisi,0,2
07/29/2020,Phalombe,0,9
07/29/2020,Rumphi,0,27
07/29/2020,Salima,2,32
07/29/2020,Thyolo,2,50
07/29/2020,Zomba,0,96
07/30/2020,Balaka,1,39
07/30/2020,Blantyre,16,1180
07/30/2020,Chikwawa,0,26
07/30/2020,Chiradzulu,1,18
07/30/2020,Chitipa,0,49
07/30/2020,Dedza,1,32
07/30/2020,Dowa,0,59
07/30/2020,Karonga,12,69
07/30/2020,Kasungu,0,42
07/30/2020,Likoma,1,3
07/30/2020,Lilongwe,59,850
07/30/2020,Machinga,0,58
07/30/2020,Mangochi,1,126
07/30/2020,Mchinji,1,50
07/30/2020,Mulanje,0,32
07/30/2020,Mwanza,0,22
07/30/2020,Mwanza PoE,0,192
07/30/2020,Mzimba North,3,481
07/30/2020,Mzimba South,1,108
07/30/2020,Neno,0,56
07/30/2020,Nkhata Bay,3,139
07/30/2020,Nkhotakota,0,36
07/30/2020,Nsanje,0,34
07/30/2020,Ntcheu,1,42
07/30/2020,Ntchisi,0,2
07/30/2020,Phalombe,0,9
07/30/2020,Rumphi,2,29
07/30/2020,Salima,4,36
07/30/2020,Thyolo,0,50
07/30/2020,Zomba,16,112
07/31/2020,Balaka,0,39
07/31/2020,Blantyre,47,1227
07/31/2020,Chikwawa,0,26
07/31/2020,Chiradzulu,1,19
07/31/2020,Chitipa,0,49
07/31/2020,Dedza,0,32
07/31/2020,Dowa,0,59
07/31/2020,Karonga,0,69
07/31/2020,Kasungu,1,43
07/31/2020,Likoma,0,3
07/31/2020,Lilongwe,25,875
07/31/2020,Machinga,0,58
07/31/2020,Mangochi,0,126
07/31/2020,Mchinji,0,50
07/31/2020,Mulanje,0,32
07/31/2020,Mwanza,0,22
07/31/2020,Mwanza PoE,10,202
07/31/2020,Mzimba North,2,483
07/31/2020,Mzimba South,4,112
07/31/2020,Neno,1,57
07/31/2020,Nkhata Bay,0,139
07/31/2020,Nkhotakota,1,37
07/31/2020,Nsanje,1,35
07/31/2020,Ntcheu,0,42
07/31/2020,Ntchisi,0,2
07/31/2020,Phalombe,0,9
07/31/2020,Rumphi,0,29
07/31/2020,Salima,1,37
07/31/2020,Thyolo,0,50
07/31/2020,Zomba,3,115
08/01/2020,Balaka,1,40
08/01/2020,Blantyre,60,1287
08/01/2020,Chikwawa,0,28
08/01/2020,Chiradzulu,1,20
08/01/2020,Chitipa,1,50
08/01/2020,Dedza,0,32
08/01/2020,Dowa,1,60
08/01/2020,Karonga,0,69
08/01/2020,Kasungu,0,43
08/01/2020,Likoma,1,4
08/01/2020,Lilongwe,22,897
08/01/2020,Machinga,0,58
08/01/2020,Mangochi,1,127
08/01/2020,Mchinji,0,50
08/01/2020,Mulanje,0,32
08/01/2020,Mwanza,0,22
08/01/2020,Mwanza PoE,0,202
08/01/2020,Mzimba North,1,484
08/01/2020,Mzimba South,0,112
08/01/2020,Neno,0,57
08/01/2020,Nkhata Bay,14,153
08/01/2020,Nkhotakota,0,35
08/01/2020,Nsanje,0,35
08/01/2020,Ntcheu,0,42
08/01/2020,Ntchisi,0,2
08/01/2020,Phalombe,0,9
08/01/2020,Rumphi,0,29
08/01/2020,Salima,0,37
08/01/2020,Thyolo,0,50
08/01/2020,Zomba,5,120
08/02/2020,Balaka,0,40
08/02/2020,Blantyre,19,1306
08/02/2020,Chikwawa,2,30
08/02/2020,Chiradzulu,0,20
08/02/2020,Chitipa,0,50
08/02/2020,Dedza,0,32
08/02/2020,Dowa,0,60
08/02/2020,Karonga,0,69
08/02/2020,Kasungu,0,43
08/02/2020,Likoma,0,4
08/02/2020,Lilongwe,16,913
08/02/2020,Machinga,0,58
08/02/2020,Mangochi,1,128
08/02/2020,Mchinji,0,50
08/02/2020,Mulanje,2,34
08/02/2020,Mwanza,0,22
08/02/2020,Mwanza PoE,0,202
08/02/2020,Mzimba North,1,485
08/02/2020,Mzimba South,2,114
08/02/2020,Neno,0,57
08/02/2020,Nkhata Bay,0,153
08/02/2020,Nkhotakota,0,35
08/02/2020,Nsanje,0,35
08/02/2020,Ntcheu,0,42
08/02/2020,Ntchisi,0,2
08/02/2020,Phalombe,0,9
08/02/2020,Rumphi,0,29
08/02/2020,Salima,0,37
08/02/2020,Thyolo,0,50
08/02/2020,Zomba,2,122
08/03/2020,Balaka,1,41
08/03/2020,Blantyre,12,1318
08/03/2020,Chikwawa,0,30
08/03/2020,Chiradzulu,0,20
08/03/2020,Chitipa,0,50
08/03/2020,Dedza,1,33
08/03/2020,Dowa,0,60
08/03/2020,Karonga,0,69
08/03/2020,Kasungu,0,43
08/03/2020,Likoma,0,4
08/03/2020,Lilongwe,8,921
08/03/2020,Machinga,5,63
08/03/2020,Mangochi,4,132
08/03/2020,Mchinji,1,51
08/03/2020,Mulanje,0,34
08/03/2020,Mwanza,0,22
08/03/2020,Mwanza PoE,0,202
08/03/2020,Mzimba North,1,486
08/03/2020,Mzimba South,1,115
