Country,Date,District,Confirmed,Confirmed-total,Deaths,Deaths-total,Recovered,Recovered-total,Imported,Local,New Arrival-T,Cumulative high-risk traveller,Contacts on Follow-up,Contacts discharged,Samples Recieved,Total Tested,Positive,Negative,Average Tests,Age group,Male,Female,Unknown,Local Transmission,Imported
Malawi,21 July 2020,Likoma,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
Malawi,21 July 2020,Lilongwe,61,642,4,14,47,354,87,555,,,,,,,,,,,,,,,
Malawi,21 July 2020,Machinga,0,44,0,0,0,26,44,0,,,,,,,,,,,,,,,
Malawi,21 July 2020,Mangochi,0,111,0,0,0,61,83,28,,,,,,,,,,,,,,,
Malawi,21 July 2020,Mchinji,1,46,0,5,0,12,5,41,,,,,,,,,,,,,,,
Malawi,21 July 2020,Mulanje,4,30,0,1,0,10,9,21,,,,,,,,,,,,,,,
Malawi,21 July 2020,Mwanza,0,28,0,1,0,4,13,15,,,,,,,,,,,,,,,
Malawi,21 July 2020,Mwanza PoE,0,173,0,0,0,167,173,0,,,,,,,,,,,,,,,
Malawi,21 July 2020,Mzimba North,5,421,0,10,0,172,11,410,,,,,,,,,,,,,,,
Malawi,21 July 2020,Mzimba South,0,99,0,1,0,18,29,70,,,,,,,,,,,,,,,
Malawi,21 July 2020,Neno,2,39,0,0,0,10,2,37,,,,,,,,,,,,,,,
Malawi,21 July 2020,Nkhata Bay,3,93,0,1,0,31,30,63,,,,,,,,,,,,,,,
Malawi,21 July 2020,Nkhotakota,0,32,0,0,0,22,29,3,,,,,,,,,,,,,,,
Malawi,21 July 2020,Nsanje,0,31,0,0,0,19,23,8,,,,,,,,,,,,,,,
Malawi,21 July 2020,Ntcheu,0,37,0,0,2,15,26,11,,,,,,,,,,,,,,,
Malawi,21 July 2020,Ntchisi,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
Malawi,21 July 2020,Phalombe,0,9,0,0,0,5,3,6,,,,,,,,,,,,,,,
Malawi,21 July 2020,Rumphi,1,25,0,0,1,2,7,18,,,,,,,,,,,,,,,
Malawi,21 July 2020,Salima,0,23,0,0,2,21,18,5,,,,,,,,,,,,,,,
